序号,报警代码(ErrorCode),报警ID(MessageID),分类(Category),中文报警信息(Message),英文报警信息(MessageEn/MessageIDHex),严重级别(Severity),排故指导(Solution),图片路径(ImagePath),所在文件
11,HW_LGT_001,50010,硬件异常,光源控制器通讯异常,Light controller comm error,1,1. 检查光源控制器串口线是否连接;\n2. 确认波特率等串口参数配置正确;\n3. 重启光源控制器;\n4. 在参数页面核对 COM 端口号;,/PF.UI.Infrastructure;component/HardwareImage/控制器.png,PF.Core/Constants/AlarmCodes.cs
12,HW_AXIS_002,50011,硬件异常,伺服轴触发限位保护（PEL/MEL）,Servo axis limit triggered,2,1. 检查轴当前位置是否超出行程范围;\n2. 手动将轴移离限位开关后点击【复位】;\n3. 确认限位开关接线和信号极性是否正确;\n4. 检查运动参数中行程保护设置是否合理;,/PF.UI.Infrastructure;component/HardwareImage/驱动器.png,PF.Core/Constants/AlarmCodes.cs
13,HW_AXIS_003,50012,运动超时,伺服轴运动完成等待超时,Axis motion done timeout,2,1. 检查伺服驱动器是否报警（查看驱动器面板代码）;\n2. 检查轴当前是否卡在中途（机械干涉、摩擦过大）;\n3. 手动点动该轴，确认运动是否正常;\n4. 检查运动参数（速度/加速度）是否合理;\n5. 复位后重新运行;,/PF.UI.Infrastructure;component/HardwareImage/驱动器.png,PF.Core/Constants/AlarmCodes.cs
14,HW_AXIS_004,50013,运动超时,伺服轴回原点完成等待超时,Axis homing done timeout,2,1. 检查原点传感器信号是否正常;\n2. 检查限位开关是否触发;\n3. 确认回零方向与速度参数配置是否正确;\n4. 手动移动轴后重新执行初始化;,/PF.UI.Infrastructure;component/HardwareImage/驱动器.png,PF.Core/Constants/AlarmCodes.cs
15,HW_AXIS_005,50014,定位异常,伺服轴到位精度超限，实际位置与目标位置偏差过大,Axis positioning accuracy exceeded,2,1. 检查轴机械传动是否存在间隙或磨损;\n2. 确认定位精度参数设置是否合理;\n3. 检查伺服增益参数;\n4. 复位后重新运行;,/PF.UI.Infrastructure;component/HardwareImage/驱动器.png,PF.Core/Constants/AlarmCodes.cs
16,HW_AXIS_006,50015,定位异常,伺服轴获取当前位置失败，无法进行定位精度校验,Axis position read failed,2,1. 检查伺服驱动器与运动控制卡通讯是否正常;\n2. 确认轴编码器反馈信号是否正常;\n3. 复位后重新运行;,/PF.UI.Infrastructure;component/HardwareImage/驱动器.png,PF.Core/Constants/AlarmCodes.cs
17,SYS_INIT_001,50016,系统异常,系统初始化超时，硬件未全部就绪,"System init timeout, HW not ready",3,1. 检查所有硬件设备连接状态;\n2. 查看调试页面中各硬件连接指示灯;\n3. 逐一排除连接失败的设备;\n4. 全部就绪后点击【复位】按钮;,,PF.Core/Constants/AlarmCodes.cs
18,SYS_DB_001,50017,系统异常,数据库写入失败,Database write failed,2,1. 检查程序运行目录磁盘空间是否充足;\n2. 检查数据库文件是否被其他程序占用;\n3. 以管理员权限重启软件;\n4. 联系维护人员检查数据库文件完整性;,,PF.Core/Constants/AlarmCodes.cs
19,SYS_SYNC_001,50018,系统异常,工站同步服务异常,Station sync service error,2,1. 检查各工站状态机是否处于正常态;\n2. 查看日志中工站异常原因;\n3. 逐一复位各工站;\n4. 重启同步服务（重启软件）;,,PF.Core/Constants/AlarmCodes.cs
20,SYS_UNDEFINED_001,50019,系统异常,报警触发时未提供错误码（已兜底）,No error code provided,2,1. 此报警表示某处触发报警时未携带错误码，已被框架兜底;\n2. 记录复现步骤并联系开发人员排查触发点;\n3. 复位后即可恢复;,,PF.Core/Constants/AlarmCodes.cs
21,SYS_TEST_001,50020,调试测试,调试页面手动触发的模拟报警,Debug page manual test alarm,1,此为调试测试报警，复位后即可恢复;,,PF.Core/Constants/AlarmCodes.cs
22,SYS_SYNC_002,50021,系统异常,状态机指针漂移，进入未定义步序,State machine undefined step,3,1. 记录当前操作步骤并联系开发人员;\n2. 查看日志中异常步序编号;\n3. 重启软件后重新运行;\n4. 提供日志文件给技术支持;,,PF.Core/Constants/AlarmCodes.cs
23,HW_SAFE_001,50022,安全防护,安全门打开，设备已暂停,"Safety door open, paused",1,1. 确认人员已撤离设备操作区域;\n2. 关闭安全门（报警将自动消除）;\n3. 点击【启动】继续运行;\n4. 如门锁无法正常关闭，请检查传感器接线;\n5. 确认门锁信号正常后重新操作;,/PF.UI.Infrastructure;component/HardwareImage/安全门.png,PF.Core/Constants/AlarmCodes.cs
24,HW_SAFE_001_1,50023,安全防护,工位1安全门打开，设备已暂停,Station 1 safety door open,1,1. 确认人员已撤离工位1操作区域;\n2. 关闭工位1安全门（报警将自动消除）;\n3. 点击【启动】继续运行;\n4. 如门锁无法正常关闭，请检查传感器接线;\n5. 确认门锁信号正常后重新操作;,/PF.UI.Infrastructure;component/HardwareImage/安全门.png,PF.Core/Constants/AlarmCodes.cs
25,HW_SAFE_001_2,50024,安全防护,工位2安全门打开，设备已暂停,Station 2 safety door open,1,1. 确认人员已撤离工位2操作区域;\n2. 关闭工位2安全门（报警将自动消除）;\n3. 点击【启动】继续运行;\n4. 如门锁无法正常关闭，请检查传感器接线;\n5. 确认门锁信号正常后重新操作;,/PF.UI.Infrastructure;component/HardwareImage/安全门.png,PF.Core/Constants/AlarmCodes.cs
26,HW_SAFE_002,50025,安全防护,安全监控IO连续读取失败，安全门检测可能已失效,"Safety IO fail, door detect lost",3,1. 立即检查 IO 模块连接状态;\n2. 检查运动控制卡通讯是否正常;\n3. 若无法恢复请立即停止设备;\n4. 联系维护人员检查硬件;,/PF.UI.Infrastructure;component/HardwareImage/安全门.png,PF.Core/Constants/AlarmCodes.cs
27,PROC_WS1F_DATA_001,50026,流程异常/数据,工位1上下料-批次产品个数为0,WS1 load/unload: batch count 0,2,1. 检查 MES 批次数据是否已正确下发;\n2. 确认批次产品数量字段不为空;\n3. 重新下发批次数据后复位重启;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/整机-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
28,PROC_WS1F_DATA_002,50027,流程异常/数据,工位1上下料-料盒尺寸与配方不匹配,WS1 load/unload: box size mismatch,2,1. 核实料盒内实际晶圆尺寸;\n2. 核对配方中要求的晶圆尺寸;\n3. 更换正确料盒或修改配方后复位重启;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
29,PROC_WS1F_DATA_003,50028,流程异常/数据,工位1上下料-配方参数为空,WS1 load/unload: recipe empty,2,1. 确认配方已正确下发至工位1;\n2. 检查配方参数页面数据是否完整;\n3. 重新下发配方后复位重启;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
30,PROC_WS1F_ALG_001,50029,流程异常/算法,工位1上下料-寻层算法判定为0层,WS1 load/unload: layer find = 0,2,1. 确认料盒内确实有物料;\n2. 确认料盒已正确放置到位;\n3. 检查寻层传感器信号是否正常;\n4. 复位后重新执行寻层;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
31,PROC_WS1F_ALG_002,50030,流程异常/算法,工位1上下料-寻层算法出现严重异常,WS1 LD/ULD: layer find fatal err,2,1. 查看日志中算法异常详情;\n2. 检查寻层传感器信号与原始数据;\n3. 确认物料摆放无严重倾斜;\n4. 复位后重新执行寻层;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
32,PROC_WS1F_SEN_001,50031,流程异常/传感器,工位1上下料-料盒尺寸识别失败（传感器信号异常）,WS1 LD/ULD: box size detect fail,2,1. 检查尺寸识别传感器安装位置;\n2. 确认料盒是否放正;\n3. 清洁传感器感应面;\n4. 复位后将重新识别尺寸;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
33,PROC_WS1F_MOT_001,50032,流程异常/运动,工位1上下料-Z轴运动条件不满足,WS1 LD/ULD: Z-axis mot not ready,2,1. 检查Z轴伺服是否报警;\n2. 确认互锁信号是否就绪;\n3. 处理轴故障后复位，将重新评估Z轴状态;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
34,PROC_WS1F_MOT_002,50033,流程异常/运动,工位1上下料-X轴运动条件不满足,WS1 LD/ULD: X-axis mot not ready,2,1. 检查凸片传感器是否有信号（铁环凸片是否触发）;\n2. 确认X轴伺服是否报警;\n3. 处理后复位，将重新评估X轴状态;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
35,PROC_WS1F_SEN_002,50034,流程异常/传感器,工位1上下料-Z轴寻层扫描异常（结果为空或过程出错）,WS1 load/unload: Z layer scan error,2,1. 检查寻层传感器信号线连接;\n2. 确认料盒位置摆放正确;\n3. 查看日志中扫描原始数据;\n4. 复位后将重新执行扫描;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
36,PROC_WS1F_MAT_001,50035,流程异常/物料,工位1上下料-物料错层翘起，禁止拉料,"WS1 LD/ULD: wafer warp, pull locked",2,1. 人工检查当前取料位置物料状态;\n2. 小心处理错层/翘起物料;\n3. 确认物料归位后复位，将重新检查该层;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
37,PROC_WS1F_MOT_003,50036,流程异常/运动,工位1上下料-Z轴运动超时,WS1 LD/ULD: Z-axis mot timeout,2,1. 检查Z轴伺服驱动器是否报警;\n2. 检查Z轴是否卡在中途（机械干涉）;\n3. 手动点动Z轴确认运动正常;\n4. 检查运动参数（速度/加速度）;\n5. 复位后重新运行;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
38,PROC_WS1F_MOT_004,50037,流程异常/运动,工位1上下料-X轴运动超时,WS1 LD/ULD: X-axis mot timeout,2,1. 检查X轴伺服驱动器是否报警;\n2. 检查X轴是否卡在中途（机械干涉）;\n3. 手动点动X轴确认运动正常;\n4. 检查运动参数（速度/加速度）;\n5. 复位后重新运行;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
39,PROC_WS1F_MOT_005,50038,流程异常/运动,工位1上下料-初始化上料状态失败（Z/X轴运动到待机位失败）,WS1 LD/ULD: init LD state fail,2,1. 检查Z轴和X轴是否处于报警状态;\n2. 手动点动确认各轴运动正常;\n3. 复位后重新运行;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
40,PROC_WS1F_MOT_007,50039,流程异常/运动,工位1上下料-切换阵列配方尺寸失败,WS1 LD/ULD: recipe size switch fail,2,1. 确认当前配方尺寸与料盒规格一致;\n2. 检查配方中阵列点位参数是否完整;\n3. 重新下发配方后复位重新运行;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
41,PROC_WS1F_SEN_003,50040,流程异常/传感器,工位1上下料-料盒公用底座未检测到物体,WS1 load/unload: box base no object,2,1. 确认料盒是否正确放入;\n2. 检查底座光电传感器是否正常;\n3. 清洁传感器感应面;\n4. 复位后重新检测;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
42,PROC_WS1F_SEN_006,50041,流程异常/传感器,工位1上下料-料盒尺寸传感器信号冲突（8寸/12寸同时触发或均未触发）,WS1: box size sensor clash,2,1. 检查料盒是否倾斜或放歪;\n2. 检查8寸和12寸传感器安装位置;\n3. 清洁传感器感应面;\n4. 复位后重新检测;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
43,PROC_WS1F_ALG_003,50042,流程异常/算法,工位1上下料-目标层数超出有效范围,WS1: target layer out of range,2,1. 检查配方中最大层数设置;\n2. 确认料盒规格;\n3. 复位后重新运行;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
44,PROC_WS1F_ALG_004,50043,流程异常/算法,工位1上下料-未找到目标层的阵列点位（可能未执行生产状态切换）,WS1: target layer missing,2,1. 确认已执行切换生产状态步骤;\n2. 检查配方参数是否完整;\n3. 复位后重新运行;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
45,PROC_WS1F_MOT_006,50044,流程异常/运动,工位1上下料-Z轴切换层运动失败,WS1 LD/ULD: Z layer switch fail,2,1. 检查Z轴伺服是否报警;\n2. 手动点动Z轴确认运动正常;\n3. 检查运动参数;\n4. 复位后重新运行;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
46,PROC_WS1F_MOT_011,50045,流程异常/运动,工位1上下料-Z轴互锁失败：料盒未到位禁止升降,"WS1: Z ILK, box not ready",2,1. 确认料盒已完全落座;\n2. 检查底座到位传感器;\n3. 复位后重新检查;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
47,PROC_WS1F_MOT_008,50046,流程异常/运动,工位1上下料-X轴互锁失败：存在铁环突片,"WS1: X ILK, ring tab present",2,1. 检查铁环突片检测传感器;\n2. 确认铁环安装方向;\n3. 复位后重新检查;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
48,PROC_WS1F_ACT_001,50047,流程异常/执行器,工位1上下料-拉料互锁失败：晶圆盒挡杆未打开,"WS1: pull ILK, latch closed",2,1. 检查挡杆驱动气缸状态;\n2. 确认挡杆传感器信号;\n3. 复位后重新检查;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
49,PROC_WS1F_MOT_009,50048,流程异常/运动,工位1上下料-寻层扫描移动到起点失败,WS1 LD/ULD: scan move to start fail,2,1. 检查Z轴伺服驱动器是否报警;\n2. 检查Z轴是否卡在中途;\n3. 手动点动Z轴确认运动正常;\n4. 复位后重新运行;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
50,PROC_WS1F_SEN_007,50049,流程异常/传感器,工位1上下料-寻层扫描硬件锁存配置失败,WS1 LD/ULD: scan latch config fail,2,1. 检查运动控制卡连接;\n2. 确认传感器接线;\n3. 复位后重新运行;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
51,PROC_WS1F_MOT_010,50050,流程异常/运动,工位1上下料-寻层扫描移动到终点失败,WS1 LD/ULD: scan move to end fail,2,1. 检查Z轴伺服驱动器是否报警;\n2. 检查Z轴是否卡在中途;\n3. 手动点动Z轴确认运动正常;\n4. 复位后重新运行;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
52,PROC_WS1F_ALG_005,50051,流程异常/算法,工位1上下料-寻层算法理论层坐标未初始化,WS1 LD: slot-find coords not init,2,1. 确认已执行切换生产状态;\n2. 检查配方参数是否完整;\n3. 复位后重新运行;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
53,PROC_WS1F_ALG_006,50052,流程异常/算法,工位1上下料-寻层算法传感器原始数据不足,WS1 LD: low sensor raw data,2,1. 检查传感器信号线连接;\n2. 确认料盒位置正确;\n3. 复位后重新运行;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
54,PROC_WS1F_ALG_007,50053,流程异常/算法,工位1上下料-寻层算法双传感器识别数量差异过大（疑似斜片或传感器失效）,WS1 LD: dual-sensor count mismatch,2,1. 检查左右传感器信号;\n2. 确认物料摆放无倾斜;\n3. 复位后重新运行;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
55,PROC_WS1F_ALG_008,50054,流程异常/算法,工位1上下料-寻层算法检测到严重斜片(Cross-slot),WS1 Load: Cross-slot wafer detected,2,1. 人工检查料盒内物料状态;\n2. 小心处理斜片物料;\n3. 复位后重新执行寻层;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
56,PROC_WS1F_ALG_009,50055,流程异常/算法,工位1上下料-寻层算法检测到重叠片(Double-wafer),WS1 Load: Double-wafer detected,2,1. 人工检查料盒内物料状态;\n2. 小心分离重叠物料;\n3. 复位后重新执行寻层;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
57,PROC_WS1F_ALG_010,50056,流程异常/算法,工位1上下料-寻层算法晶圆严重偏离标准槽位（可能未插到底）,"WS1 LD: wafer off-slot, not seated",2,1. 检查物料是否正确插入槽位;\n2. 确认料盒无损坏;\n3. 复位后重新执行寻层;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
58,PROC_WS1F_ALG_011,50057,流程异常/算法,工位1上下料-指定层与实际寻层结果不匹配,WS1 Load: Target slot mismatch,2,1. 核查料盒内实际物料层位;\n2. 确认切换批次时选择的指定层是否正确;\n3. 修正指定层设置后重新切换批次;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
59,PROC_WS1F_RSM_001,50058,断点续跑,工位1上下料-重启后物料状态与记忆不一致,WS1 Load: Resume status mismatch,3,1. 人工核查料盒内物料数量是否与系统记忆一致;\n2. 若物料已被取走，请清空批次后重新下发;\n3. 若物料仍在，检查传感器或算法是否异常;\n4. 确认状态后手动复位重启;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
60,PROC_WS1F_INIT_001,50059,流程异常/初始化,工位1上下料-初始化异常,WS1 Load: Initialization failed,2,1. 查看日志中具体异常信息;\n2. 排查对应硬件或配置项;\n3. 排除故障后复位重新初始化;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
61,PROC_WS1F_RSM_002,50060,断点续跑,工位1上下料-断点续跑异常,WS1 Load: Resume run failed,2,1. 查看日志中具体异常信息;\n2. 排查对应硬件或状态异常;\n3. 排除故障后复位重新运行;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
62,PROC_WS2F_DATA_001,50061,流程异常/数据,工位2上下料-批次产品个数为0,WS2 LD: batch product count is zero,2,1. 检查 MES 批次数据是否已正确下发;\n2. 确认批次产品数量字段不为空;\n3. 重新下发批次数据后复位重启;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/整机-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
63,PROC_WS2F_DATA_002,50062,流程异常/数据,工位2上下料-料盒尺寸与配方不匹配,WS2 Load: Cassette size mismatch,2,1. 核实料盒内实际晶圆尺寸;\n2. 核对配方中要求的晶圆尺寸;\n3. 更换正确料盒或修改配方后复位重启;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
64,PROC_WS2F_DATA_003,50063,流程异常/数据,工位2上下料-配方参数为空,WS2 Load: Recipe params empty,2,1. 确认配方已正确下发至工位2;\n2. 检查配方参数页面数据是否完整;\n3. 重新下发配方后复位重启;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
65,PROC_WS2F_ALG_001,50064,流程异常/算法,工位2上下料-寻层算法判定为0层,WS2 Load: Slot-find algo=0 layers,2,1. 确认料盒内确实有物料;\n2. 确认料盒已正确放置到位;\n3. 检查寻层传感器信号是否正常;\n4. 复位后重新执行寻层;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
66,PROC_WS2F_ALG_002,50065,流程异常/算法,工位2上下料-寻层算法出现严重异常,WS2 LD: slot-find algo critical err,2,1. 查看日志中算法异常详情;\n2. 检查寻层传感器信号与原始数据;\n3. 确认物料摆放无严重倾斜;\n4. 复位后重新执行寻层;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
67,PROC_WS2F_SEN_001,50066,流程异常/传感器,工位2上下料-料盒尺寸识别失败（传感器信号异常）,WS2 LD: cassette size detect fail,2,1. 检查尺寸识别传感器安装位置;\n2. 确认料盒是否放正;\n3. 清洁传感器感应面;\n4. 复位后将重新识别尺寸;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
68,PROC_WS2F_MOT_001,50067,流程异常/运动,工位2上下料-Z轴运动条件不满足,WS2 Load: Z-axis motion not ready,2,1. 检查Z轴伺服是否报警;\n2. 确认互锁信号是否就绪;\n3. 处理轴故障后复位，将重新评估Z轴状态;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
69,PROC_WS2F_MOT_002,50068,流程异常/运动,工位2上下料-X轴运动条件不满足,WS2 Load: X-axis motion not ready,2,1. 检查凸片传感器是否有信号（铁环凸片是否触发）;\n2. 确认X轴伺服是否报警;\n3. 处理后复位，将重新评估X轴状态;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
70,PROC_WS2F_SEN_002,50069,流程异常/传感器,工位2上下料-Z轴寻层扫描异常（结果为空或过程出错）,WS2 Load: Z-axis slot scan abnormal,2,1. 检查寻层传感器信号线连接;\n2. 确认料盒位置摆放正确;\n3. 查看日志中扫描原始数据;\n4. 复位后将重新执行扫描;,/PF.WorkStation.AutoOcr.UI;component/ModelImages/上晶圆-成品.png,PF.WorkStation.AutoOcr/CostParam/AlarmCodesExtensions.cs
